Technology,Zone,EC_Category,New_Build,soc_t1h1,soc_t1h2,soc_t1h3,soc_t1h4,soc_t1h5,soc_t1h6,soc_t1h7,soc_t1h8,soc_t1h9,soc_t1h10,soc_t1h11,soc_t1h12,soc_t1h13,soc_t1h14,soc_t1h15,soc_t1h16,soc_t1h17,soc_t1h18,soc_t1h19,soc_t1h20,soc_t1h21,soc_t1h22,soc_t1h23,soc_t1h24,soc_t2h1,soc_t2h2,soc_t2h3,soc_t2h4,soc_t2h5,soc_t2h6,soc_t2h7,soc_t2h8,soc_t2h9,soc_t2h10,soc_t2h11,soc_t2h12,soc_t2h13,soc_t2h14,soc_t2h15,soc_t2h16,soc_t2h17,soc_t2h18,soc_t2h19,soc_t2h20,soc_t2h21,soc_t2h22,soc_t2h23,soc_t2h24,soc_t3h1,soc_t3h2,soc_t3h3,soc_t3h4,soc_t3h5,soc_t3h6,soc_t3h7,soc_t3h8,soc_t3h9,soc_t3h10,soc_t3h11,soc_t3h12,soc_t3h13,soc_t3h14,soc_t3h15,soc_t3h16,soc_t3h17,soc_t3h18,soc_t3h19,soc_t3h20,soc_t3h21,soc_t3h22,soc_t3h23,soc_t3h24,soc_t4h1,soc_t4h2,soc_t4h3,soc_t4h4,soc_t4h5,soc_t4h6,soc_t4h7,soc_t4h8,soc_t4h9,soc_t4h10,soc_t4h11,soc_t4h12,soc_t4h13,soc_t4h14,soc_t4h15,soc_t4h16,soc_t4h17,soc_t4h18,soc_t4h19,soc_t4h20,soc_t4h21,soc_t4h22,soc_t4h23,soc_t4h24
HPS,AEP_VA,Existing,0,3300.0,3359.4,3359.4,3418.8,3418.8,3418.8,3418.8,3345.4666666666667,3345.4666666666667,3345.4666666666667,3272.133333333333,3272.133333333333,3272.133333333333,3272.133333333333,3272.133333333333,3331.5333333333333,3331.5333333333333,3331.5333333333333,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3359.4,3372.731892316141,3372.731892316141,3299.3985589828076,3299.3985589828076,3299.3985589828076,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3226.065225649474,3240.6,3300.0,3300.0,3359.4,3359.4,3359.4,3359.4,3359.4,3359.4,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3240.6,3240.6,3240.6,3240.6,3240.6,3240.6,3300.0,3300.0
HPS,AEP_VA,Existing,0,5765.0,5765.0,5838.023333333333,5838.023333333333,5838.023333333333,5709.912222222221,5709.912222222221,5709.912222222221,5581.80111111111,5581.80111111111,5581.80111111111,5453.689999999999,5453.689999999999,5453.689999999999,5453.689999999999,5557.459999999999,5557.459999999999,5557.459999999999,5557.459999999999,5557.459999999999,5557.459999999999,5557.459999999999,5661.23,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5868.77,5878.211171209164,5878.211171209164,5878.211171209164,5878.211171209164,5878.211171209164,5878.211171209164,5809.475097295161,5809.475097295161,5681.363986184049,5681.363986184049,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5765.0,5868.77,5868.77,5868.77,5740.658888888889,5740.658888888889,5740.658888888889,5740.658888888889,5740.658888888889,5740.658888888889,5740.658888888889,5612.547777777778,5612.547777777778,5612.547777777778,5612.547777777778,5612.547777777778,5612.547777777778,5612.547777777778,5612.547777777778,5612.547777777778,5612.547777777778,5661.23,5765.0
HPS,AEP_VA,Existing,0,3300.0,3355.7333333333336,3415.1333333333337,3415.1333333333337,3415.1333333333337,3415.1333333333337,3415.1333333333337,3341.8,3341.8,3268.4666666666667,3195.133333333333,3195.133333333333,3195.133333333333,3195.133333333333,3195.133333333333,3195.133333333333,3254.5333333333333,3313.9333333333334,3240.6,3240.6,3240.6,3240.6,3240.6,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3359.4,3387.266666666667,3387.266666666667,3387.266666666667,3387.266666666667,3387.266666666667,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3313.9333333333334,3240.6,3240.6,3240.6,3240.6,3300.0,3300.0,3359.4,3418.8,3418.8,3418.8,3418.8,3418.8,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3345.4666666666667,3313.9333333333334,3313.9333333333334,3240.6,3240.6,3300.0,3300.0
HPS,DOM_VA,Existing,0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23428.381791413598,23428.381791413598,23278.511311649112,23278.511311649112,23308.854958992644,23546.971417149824,23546.971417149824,23546.971417149824,23685.518741790078,23685.518741790078,23685.518741790078,23685.518741790078,23685.518741790078,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,24228.47631005244,24657.77631005244,24657.77631005244,24657.77631005244,24657.77631005244,24264.830845136887,24264.830845136887,23734.830845136887,23734.830845136887,23734.830845136887,23663.474678197512,23663.474678197512,23894.499388159005,24051.4,24051.4,23521.4,22991.4,22991.4,22991.4,22991.4,23420.7,23850.0,23850.0,23850.0,23850.0,23858.259769509208,23858.259769509208,23858.259769509208,23858.259769509208,23858.259769509208,23858.259769509208,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23846.45727557239,23850.0,23850.0,23850.0
HPS,DOM_VA,Existing,0,23850.0,24034.794563196996,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24264.465305902733,24496.27335205658,24496.27335205658,24496.27335205658,24496.27335205658,24032.05797711318,24032.05797711318,23831.41717247283,23831.41717247283,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,24173.85937727203,24282.39546562154,24282.39546562154,24389.45248883354,24389.45248883354,23859.45248883354,23859.45248883354,23752.285769043057,23752.285769043057,23752.285769043057,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23587.235807113248,23587.235807113248,23727.99031365883,23850.0
HPS,DOM_VA,Existing,0,23850.0,24117.03944284841,24117.03944284841,24117.03944284841,24117.03944284841,24117.03944284841,24117.03944284841,24117.03944284841,24117.03944284841,24117.03944284841,23905.599683193053,23905.599683193053,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,24279.3,24279.3,24279.3,24279.3,24279.3,24279.3,24279.3,23749.3,23749.3,23219.3,23219.3,23219.3,23219.3,23219.3,23219.3,23219.3,22948.94893833075,22948.94893833075,22948.94893833075,23340.0481323416,23769.348132341598,23794.26274327431,23850.0,23850.0,23950.7,23950.7,23950.7,23950.7,23950.7,23950.7,23950.7,23950.7,23950.7,23950.7,23950.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23420.7,23850.0
HPS,DOM_VA,Existing,0,23850.0,23850.0,23850.0,23933.47637514937,23933.47637514937,23933.47637514937,23933.47637514937,23933.47637514937,23933.47637514937,23933.47637514937,23657.166074018056,23657.166074018056,23657.166074018056,23657.166074018056,23657.166074018056,23657.166074018056,23950.7,23950.7,23950.7,23420.7,23420.7,23420.7,23420.7,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,24013.869453001622,24013.869453001622,24401.73534483381,24401.73534483381,24401.73534483381,24401.73534483381,24401.73534483381,24401.73534483381,24401.73534483381,24094.623543531623,24094.623543531623,24094.623543531623,24094.623543531623,24094.623543531623,24094.623543531623,23793.485601307064,23521.4,22991.4,22991.4,22991.4,22991.4,23420.7,23850.0,23850.0,23925.40362635954,23925.40362635954,23925.40362635954,23925.40362635954,23925.40362635954,23925.40362635954,23925.40362635954,23925.40362635954,23925.40362635954,23925.40362635954,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0
HPS,DOM_VA,Existing,0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23924.452105313667,24353.752105313666,24353.752105313666,24353.752105313666,24353.752105313666,24345.30046732525,24345.30046732525,24345.30046732525,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0
HPS,DOM_VA,Existing,0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,23850.0,24128.131328984175,24128.131328984175,24128.131328984175,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24557.431328984174,24027.431328984174,23499.738440931444,23038.564977317077,23038.564977317077,23420.7,23850.0,23850.0,23850.0,23906.24406028374,23931.01757409349,23931.01757409349,23931.01757409349,23931.01757409349,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23734.748492403316,23850.0,23850.0
BES,DOM_NC,Existing,0,50.0,49.0,49.0,49.0,48.0,48.0,47.0,47.0,47.85,48.7,49.550000000000004,50.400000000000006,51.25000000000001,52.10000000000001,52.95000000000001,52.95000000000001,52.0,52.0,52.0,52.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,51.15,50.15,49.15,49.15,50.0,50.0,50.0,50.0,50.85,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.23956608635971,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.85,50.0
HPS,JC_NJ,Existing,0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0
HPS,JC_NJ,Existing,0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0
HPS,JC_NJ,Existing,0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0,7550.0
