C,Nodal Load Weights Report
C,Filename: nodal_load_weights_202407_4003.csv
C,Report generated 2024-08-20 10:43:55 EST
H,Day,Hour,Location ID,Network Node Description,MW Factor,Energy Component,Congestion Component,Marginal Loss Component,Price
"D","2024-07-01","07","4455","LD.QUEENCTY13.8","11.000","22.77","0.0","0.16","22.93"
"D","2024-07-01","07","4456","LD.NEW_HAVN46","8.000","22.77","0.0","0.02","22.79"
"D","2024-07-01","07","4457","LD.MIDLEBRY46","16.000","22.77","0.0","0.05","22.82"
"D","2024-07-01","07","4458","LD.BLISVILL46","11.000","22.77","0.0","-0.17","22.6"
"D","2024-07-01","07","4459","LD.N_RUTLND46","18.000","22.77","0.0","0.02","22.79"
"D","2024-07-01","07","4460","LD.ASCUTNEY46","14.000","22.77","0.0","0.13","22.9"
"D","2024-07-01","07","4461","LD.FLORNCE 46","16.000","22.77","0.0","0.0","22.77"
"D","2024-07-01","07","4462","LD.WINDSOR 46","13.000","22.77","0.0","0.13","22.9"
"D","2024-07-01","07","4463","LD.HARTFDVT46","19.000","22.77","0.0","0.19","22.96"
"D","2024-07-01","07","4464","LD.CHELSEVT46","14.000","22.77","0.0","-0.04","22.73"
"D","2024-07-01","07","4466","LD.MIDDLESX34.5","12.000","22.77","0.0","0.01","22.78"
"D","2024-07-01","07","4467","LD.VERNONRD69","9.000","22.77","0.0","-0.11","22.66"
"D","2024-07-01","07","4468","LD.BENINGTN46","22.000","22.77","0.0","-0.5","22.27"
"D","2024-07-01","07","4470","LD.COLD_RV 46","16.000","22.77","0.0","0.03","22.8"
"D","2024-07-01","07","10494","LD.TAFTS_CR34.5","8.000","22.77","0.0","0.13","22.9"
"D","2024-07-01","07","14167","LD.VERGENNE34.5","4.000","22.77","0.0","0.07","22.84"
"D","2024-07-01","07","15410","LD.SHELBURN12.5","6.000","22.77","0.0","0.15","22.92"
"D","2024-07-01","07","15411","LD.CHARLOTT12.5","3.000","22.77","0.0","0.13","22.9"
"D","2024-07-01","07","15412","LD.N_FERRIS12.5","2.000","22.77","0.0","0.1","22.87"
"D","2024-07-01","07","16847","LD.STOWE   34.5","8.000","22.77","0.0","0.05","22.82"
"D","2024-07-01","07","17147","LD.EAST_AVE34.5","11.000","22.77","0.0","0.14","22.91"
"D","2024-07-01","07","36881","LD.NEWFANE 46","10.000","22.77","0.0","-0.09","22.68"
"D","2024-07-01","07","36893","LD.LIMEKILN34.5","12.000","22.77","0.0","0.14","22.91"
"D","2024-07-01","07","36981","LD.LYNDONVL34.5","5.000","22.77","0.0","-0.5","22.27"
"D","2024-07-01","07","37894","LD.TAFTS_CR12.5","5.000","22.77","0.0","0.13","22.9"
"D","2024-07-01","07","37895","LD.VERNONRD46","7.000","22.77","0.0","-0.11","22.66"
"D","2024-07-01","07","40321","LD.JAY_VT  46","9.000","22.77","0.0","-0.51","22.26"
"D","2024-07-01","07","46680","LD.GEORGIA 34.5","3.000","22.77","0.0","-0.08","22.69"
"D","2024-07-01","08","2437","LD.BARRE_VT34.5","35.000","23.12","0.0","-0.08","23.04"
"D","2024-07-01","08","4444","LD.SO_HERO 13.2","3.000","23.12","0.0","-0.51","22.61"
"D","2024-07-01","08","4445","LD.BERLINVT34.5","9.000","23.12","0.0","0.01","23.13"
"D","2024-07-01","08","4446","LD.STJHNSBY34.5","10.000","23.12","0.0","-0.41","22.71"
