"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20240701_20240731.csv"
"C","Report for: 07/01/2024 - 07/31/2024"
"C","Report generated: 03/15/2026 19:49:35 EDT"
"H","Date","Hour Ending","Total Load"
"D","07/26/2024","07",12535.88
"D","07/26/2024","08",12733.39
"D","07/26/2024","09",12557.36
"D","07/26/2024","10",12137.47
"D","07/26/2024","11",12027.57
"D","07/26/2024","12",12240.81
"D","07/26/2024","13",12670.15
"D","07/26/2024","14",13431.76
"D","07/26/2024","15",14249.12
"D","07/26/2024","16",15166.66
"D","07/26/2024","17",16280.73
"D","07/26/2024","18",17203.73
"D","07/26/2024","19",17690.83
"D","07/26/2024","20",17538.84
"D","07/26/2024","21",16990.09
"D","07/26/2024","22",16194.76
"D","07/26/2024","23",14959.24
"D","07/26/2024","24",13731.28
"D","07/27/2024","01",12685.21
"D","07/27/2024","02",11917.56
"D","07/27/2024","03",11747.07
"D","07/27/2024","04",11591.24
"D","07/27/2024","05",11438.11
"D","07/27/2024","06",11461.52
"D","07/27/2024","07",11565.91
"D","07/27/2024","08",11721.08
"D","07/27/2024","09",11804.42
"D","07/27/2024","10",11858.04
"D","07/27/2024","11",11806.57
"D","07/27/2024","12",12052.43
"D","07/27/2024","13",12663.52
"D","07/27/2024","14",13167.5
"D","07/27/2024","15",13826.56
"D","07/27/2024","16",14731.18
"D","07/27/2024","17",15824.4
"D","07/27/2024","18",16928.94
"D","07/27/2024","19",17418.79
"D","07/27/2024","20",17274.53
"D","07/27/2024","21",16821.73
"D","07/27/2024","22",16064.81
"D","07/27/2024","23",14953.24
"D","07/27/2024","24",13778.07
"D","07/28/2024","01",12836.02
"D","07/28/2024","02",12319.56
"D","07/28/2024","03",12089.17
"D","07/28/2024","04",11689.09
"D","07/28/2024","05",11715.95
"D","07/28/2024","06",11679.73
"D","07/28/2024","07",11629.56
"D","07/28/2024","08",11768.91
"D","07/28/2024","09",11573.88
"D","07/28/2024","10",11497.52
"D","07/28/2024","11",11602.7
"D","07/28/2024","12",12448.0
"D","07/28/2024","13",13304.32
"D","07/28/2024","14",13806.92
"D","07/28/2024","15",14258.13
"D","07/28/2024","16",14848.68
"D","07/28/2024","17",15777.72
"D","07/28/2024","18",16520.48
"D","07/28/2024","19",16814.24
"D","07/28/2024","20",16719.58
"D","07/28/2024","21",16521.05
"D","07/28/2024","22",15793.51
"D","07/28/2024","23",14662.12
"D","07/28/2024","24",13814.56
"D","07/29/2024","01",13146.93
"D","07/29/2024","02",12605.35
"D","07/29/2024","03",12483.61
"D","07/29/2024","04",12356.3
"D","07/29/2024","05",12492.97
"D","07/29/2024","06",12796.7
"D","07/29/2024","07",13194.92
"D","07/29/2024","08",14011.46
"D","07/29/2024","09",14563.48
"D","07/29/2024","10",14751.68
"D","07/29/2024","11",14547.0
"D","07/29/2024","12",14795.64
"D","07/29/2024","13",14773.03
"D","07/29/2024","14",14797.24
"D","07/29/2024","15",14771.2
"D","07/29/2024","16",14880.1
"D","07/29/2024","17",15441.51
"D","07/29/2024","18",16164.72
"D","07/29/2024","19",16449.15
"D","07/29/2024","20",16399.51
"D","07/29/2024","21",16261.05
"D","07/29/2024","22",15645.42
"D","07/29/2024","23",14561.39
"D","07/29/2024","24",13636.67
"D","07/30/2024","01",12963.55
"D","07/30/2024","02",13181.36
"D","07/30/2024","03",13377.83
"D","07/30/2024","04",13292.0
"D","07/30/2024","05",13520.08
"D","07/30/2024","06",13926.15
"D","07/30/2024","07",14314.1
"D","07/30/2024","08",14789.46
"D","07/30/2024","09",15382.43
"D","07/30/2024","10",15738.26
"D","07/30/2024","11",16196.58
"D","07/30/2024","12",16519.07
"D","07/30/2024","13",16848.64
"D","07/30/2024","14",17467.44
"D","07/30/2024","15",17973.32
"D","07/30/2024","16",18854.38
"D","07/30/2024","17",19911.52
"D","07/30/2024","18",20859.29
"D","07/30/2024","19",21186.43
"D","07/30/2024","20",20803.38
"D","07/30/2024","21",20162.86
"D","07/30/2024","22",19130.05
"D","07/30/2024","23",17727.31
"D","07/30/2024","24",16597.29
"D","07/31/2024","01",15649.98
"D","07/31/2024","02",15582.55
"D","07/31/2024","03",15317.27
"D","07/31/2024","04",15087.99
"D","07/31/2024","05",15202.05
"D","07/31/2024","06",15774.51
"D","07/31/2024","07",16223.82
"D","07/31/2024","08",16468.58
"D","07/31/2024","09",16952.47
"D","07/31/2024","10",17455.03
"D","07/31/2024","11",17912.5
"D","07/31/2024","12",18109.79
"D","07/31/2024","13",18230.23
"D","07/31/2024","14",18768.38
"D","07/31/2024","15",19347.75
"D","07/31/2024","16",19875.31
"D","07/31/2024","17",20401.19
"D","07/31/2024","18",20728.36
"D","07/31/2024","19",20718.05
"D","07/31/2024","20",20435.97
"D","07/31/2024","21",19952.54
"D","07/31/2024","22",19058.2
"D","07/31/2024","23",18257.6
"D","07/31/2024","24",17203.43
"T","744 lines"
