Pmax (MW),Pmin (MW),Type,Cost ($/MWh),EF,CC,Zone
32.5,10,Oil,40,0.82,0.98,PS_IL
32.5,10,Oil,40,0.82,0.98,PS_IL
32.5,10,Oil,40,0.82,0.98,PS_IL
625.1,270,Coal,23.57,1.01,0.95,AEP_IL
634.5,400,Coal,23.57,1.01,0.95,AEP_IL
18,2.5,NGCT,26.3,0.59,0.98,CE_IL
18,2.5,NGCT,26.3,0.59,0.98,CE_IL
18,2.5,NGCT,26.3,0.59,0.98,CE_IL
18,2.5,NGCT,26.3,0.59,0.98,CE_IL
0.9,0.1,Hydro,50,0,0.5,CE_IL
0.9,0.1,Hydro,50,0,0.5,CE_IL
0.9,0.1,Hydro,50,0,0.5,CE_IL
0.9,0.1,Hydro,50,0,0.5,CE_IL
0.6,0.2,Hydro,50,0,0.5,CE_IL
0.5,0.2,Hydro,50,0,0.5,CE_IL
1.5,0.5,NGCT,26.3,0.59,0.98,CE_IL
1.1,0.5,Oil,40,0.82,0.98,CE_IL
0.8,0.5,Oil,40,0.82,0.98,CE_IL
3.5,0.5,NGCT,26.3,0.59,0.98,CE_IL
2.2,0.5,Oil,40,0.82,0.98,CE_IL
2.2,0.5,Oil,40,0.82,0.98,CE_IL
5.6,1.8,NGCT,26.3,0.59,0.98,CE_IL
1.5,0,WindOn,0,0,0.28,CE_IL
1.5,0,WindOn,0,0,0.28,CE_IL
1.2, ,SolarPV,0,0,0.35,CE_IL
3.5,1.5,NGCT,26.3,0.59,0.98,CE_IL
3.5,1.5,NGCT,26.3,0.59,0.98,CE_IL
1.6,1,NGCT,26.3,0.59,0.98,CE_IL
4.4,1.5,NGCT,26.3,0.59,0.98,CE_IL
3,1.5,NGCT,26.3,0.59,0.98,CE_IL
3,1,NGCT,26.3,0.59,0.98,CE_IL
4.8,1,Oil,40,0.82,0.98,CE_IL
2.3,0.5,NGCT,26.3,0.59,0.98,CE_IL
3,1,NGCT,26.3,0.59,0.98,CE_IL
3.4,1,NGCT,26.3,0.59,0.98,CE_IL
3.4,1,NGCT,26.3,0.59,0.98,CE_IL
4.4,1,NGCT,26.3,0.59,0.98,CE_IL
5.6,1,NGCT,26.3,0.59,0.98,CE_IL
7,1,NGCT,26.3,0.59,0.98,CE_IL
8.8,1,NGCT,26.3,0.59,0.98,CE_IL
2.4,1,Oil,40,0.82,0.98,AEP_IL
1.1,0.5,Oil,40,0.82,0.98,AEP_IL
2.4,1,Oil,40,0.82,0.98,AEP_IL
3.5,1.5,Oil,40,0.82,0.98,AEP_IL
2.8,1,Oil,40,0.82,0.98,AEP_IL
2.8,1,Oil,40,0.82,0.98,AEP_IL
0.3,0.5,Oil,40,0.82,0.98,AP_IL
2.5,0.5,NGCT,26.3,0.59,0.98,AP_IL
2.5,0.5,NGCT,26.3,0.59,0.98,AP_IL
1,0.5,Oil,40,0.82,0.98,AP_IL
2.5,0.5,NGCT,26.3,0.59,0.98,AP_IL
3.8,0.5,NGCT,26.3,0.59,0.98,AP_IL
1,0.5,Oil,40,0.82,0.98,AP_IL
3.5,0.5,NGCT,26.3,0.59,0.98,AP_IL
0.3, ,SolarPV,0,0,0.35,AP_IL
2.5,0.5,NGCT,26.3,0.59,0.98,AP_IL
1.8,0.5,Oil,40,0.82,0.98,AP_IL
1.8,0.5,Oil,40,0.82,0.98,AP_IL
1.8,0.5,Oil,40,0.82,0.98,AP_IL
1.8,1.8,Oil,40,0.82,0.98,AP_IL
1.8,1.8,Oil,40,0.82,0.98,AP_IL
1.8,1.8,Oil,40,0.82,0.98,AP_IL
2.5,0.5,NGCT,26.3,0.59,0.98,AP_IL
9.4,2.4,NGCT,26.3,0.59,0.98,PS_IL
6.3,2,NGCT,26.3,0.59,0.98,PS_IL
12.5,3.1,NGCT,26.3,0.59,0.98,PS_IL
2.6,1.8,Oil,40,0.82,0.98,PS_IL
2.6,1.8,Oil,40,0.82,0.98,PS_IL
217.3,80,Coal,23.57,1.01,0.95,AEP_IN
217.3,80,Coal,23.57,1.01,0.95,AEP_IN
217.3,80,Coal,23.57,1.01,0.95,AEP_IN
217.3,80,Coal,23.57,1.01,0.95,AEP_IN
217.3,80,Coal,23.57,1.01,0.95,AEP_IN
217.3,80,Coal,23.57,1.01,0.95,AEP_IN
1.4,0.5,Hydro,50,0,0.5,AEP_IN
1,0.3,Hydro,50,0,0.5,AEP_IN
1,0.3,Hydro,50,0,0.5,AEP_IN
540,310,Coal,23.57,1.01,0.95,AEP_IN
2,0.5,Hydro,50,0,0.5,AEP_IN
2,0.5,Hydro,50,0,0.5,AEP_IN
2,0.5,Hydro,50,0,0.5,AEP_IN
1.3,0.4,Hydro,50,0,0.5,AEP_IN
531,300,Coal,23.57,1.01,0.95,AEP_IN
531,230,Coal,23.57,1.01,0.95,AEP_IN
2.6,2.5,Oil,40,0.82,0.98,AEP_IN
2.6,2.5,Oil,40,0.82,0.98,AEP_IN
2.6,2.5,Oil,40,0.82,0.98,AEP_IN
2.6,2.5,Oil,40,0.82,0.98,AEP_IN
112.5,50,NGCT,26.3,0.59,0.98,AEP_IN
50,42,NGCC,18.75,0.4,0.98,AEP_IN
50,43,NGCC,18.75,0.4,0.98,AEP_IN
61,60,NGCC,18.75,0.4,0.98,AEP_IN
61,60,NGCC,18.75,0.4,0.98,AEP_IN
61,59,NGCC,18.75,0.4,0.98,AEP_IN
2,0.5,Oil,40,0.82,0.98,AEP_IN
2,0.5,Oil,40,0.82,0.98,AEP_IN
5,1,NGCT,26.3,0.59,0.98,AEP_IN
8.4,5.3,NGCT,26.3,0.59,0.98,AEP_IN
1.9,0.5,Oil,40,0.82,0.98,AEP_IN
2.5,0.7,Oil,40,0.82,0.98,AEP_IN
33,13,Coal,23.57,1.01,0.95,AEP_IN
60.9,28,Coal,23.57,1.01,0.95,AEP_IN
0.8,0.7,Oil,40,0.82,0.98,CE_IA
0.8,0.7,Oil,40,0.82,0.98,CE_IA
2.5,2.3,Oil,40,0.82,0.98,CE_IA
2.5,2.3,Oil,40,0.82,0.98,CE_IA
2.5,2.3,Oil,40,0.82,0.98,CE_IA
280.5,100,NGCT,26.3,0.59,0.98,AEP_KY
9.4,2,Hydro,50,0,0.5,EKPC_KY
9.4,2,Hydro,50,0,0.5,EKPC_KY
9.4,2,Hydro,50,0,0.5,EKPC_KY
126,50,NGCT,26.3,0.59,0.98,EKPC_KY
126,50,NGCT,26.3,0.59,0.98,EKPC_KY
464,155,Coal,23.57,1.01,0.95,EKPC_KY
123,50,NGCT,26.3,0.59,0.98,EKPC_KY
176.8,90,NGCT,26.3,0.59,0.98,EKPC_KY
176.8,105,NGCT,26.3,0.59,0.98,EKPC_KY
126,50,NGCT,26.3,0.59,0.98,EKPC_KY
126,50,NGCT,26.3,0.59,0.98,EKPC_KY
13, ,SolarPV,0,0,0.35,EKPC_KY
20.7,2,NGCT,26.3,0.59,0.98,EKPC_KY
20.7,2,NGCT,26.3,0.59,0.98,EKPC_KY
0.7,0.1,Hydro,50,0,0.5,EKPC_KY
0.7,0.1,Hydro,50,0,0.5,EKPC_KY
0.7,0.1,Hydro,50,0,0.5,EKPC_KY
1.3,0.2,Oil,40,0.82,0.98,EKPC_KY
1.3,0.2,Oil,40,0.82,0.98,EKPC_KY
0.7,0.2,Oil,40,0.82,0.98,EKPC_KY
0.9,0.2,Oil,40,0.82,0.98,EKPC_KY
1.1,0.2,Oil,40,0.82,0.98,EKPC_KY
3.1,0.2,Oil,40,0.82,0.98,EKPC_KY
3.1,0.2,Oil,40,0.82,0.98,EKPC_KY
45,45,Hydro,50,0,0.5,EKPC_KY
45,45,Hydro,50,0,0.5,EKPC_KY
45,40,Hydro,50,0,0.5,EKPC_KY
45,45,Hydro,50,0,0.5,EKPC_KY
45,45,Hydro,50,0,0.5,EKPC_KY
45,45,Hydro,50,0,0.5,EKPC_KY
132.8,40,Oil,40,0.82,0.98,PL_MD
359,105,Coal,23.57,1.01,0.95,PL_MD
414.7,60,Oil,40,0.82,0.98,PL_MD
16,2,Oil,40,0.82,0.98,PL_MD
53.1,5,Oil,40,0.82,0.98,PE_MD
53.1,5,Oil,40,0.82,0.98,PE_MD
53.1,5,Oil,40,0.82,0.98,PE_MD
192,110,NGCT,26.3,0.59,0.98,PE_MD
141,60,NGCT,26.3,0.59,0.98,PE_MD
20.7,3,Oil,40,0.82,0.98,BC_MD
20.7,3,Oil,40,0.82,0.98,BC_MD
20.7,3,Oil,40,0.82,0.98,BC_MD
20.7,3,Oil,40,0.82,0.98,BC_MD
2.9,2,Oil,40,0.82,0.98,DPL_MD
2.9,2,Oil,40,0.82,0.98,DPL_MD
2.9,2,Oil,40,0.82,0.98,DPL_MD
2.9,2,Oil,40,0.82,0.98,DPL_MD
18.6,14,Oil,40,0.82,0.98,DPL_MD
162,55,Oil,40,0.82,0.98,DPL_MD
10,5,Hydro,50,0,0.5,AP_MD
10,5,Hydro,50,0,0.5,AP_MD
19,18,Oil,40,0.82,0.98,BC_MD
163,40,NGCT,26.3,0.59,0.98,BC_MD
163,40,NGCT,26.3,0.59,0.98,BC_MD
65,20,Oil,40,0.82,0.98,PEP_MD
65,20,Oil,40,0.82,0.98,PEP_MD
65,20,Oil,40,0.82,0.98,PEP_MD
65,20,Oil,40,0.82,0.98,PEP_MD
18,7,Oil,40,0.82,0.98,PEP_MD
18,7,Oil,40,0.82,0.98,PEP_MD
626,197,Coal,23.57,1.01,0.95,PEP_MD
626,203,Coal,23.57,1.01,0.95,PEP_MD
45,5,Hydro,50,0,0.5,PE_MD
55.6,30,Hydro,50,0,0.5,PE_MD
55.6,30,Hydro,50,0,0.5,PE_MD
36,5,Hydro,50,0,0.5,PE_MD
48,5,Hydro,50,0,0.5,PE_MD
47.7,5,Hydro,50,0,0.5,PE_MD
36,5,Hydro,50,0,0.5,PE_MD
47.7,5,Hydro,50,0,0.5,PE_MD
48,5,Hydro,50,0,0.5,PE_MD
55.6,30,Hydro,50,0,0.5,PE_MD
55.6,30,Hydro,50,0,0.5,PE_MD
3.5,0,Oil,40,0.82,0.98,DPL_MD
1.5,0,Oil,40,0.82,0.98,DPL_MD
1.5,0,Oil,40,0.82,0.98,DPL_MD
3.8,0,Oil,40,0.82,0.98,DPL_MD
4.1,0,Oil,40,0.82,0.98,DPL_MD
5.6,0,Oil,40,0.82,0.98,DPL_MD
5.6,0,Oil,40,0.82,0.98,DPL_MD
2.5,0,Oil,40,0.82,0.98,DPL_MD
2.5,0,Oil,40,0.82,0.98,DPL_MD
3,0,Oil,40,0.82,0.98,DPL_MD
811.8,0,NuC,35,0,0.99,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.6,0.1,Hydro,50,0,0.5,AEP_MI
0.4,0.1,Hydro,50,0,0.5,AEP_MI
0.5,0.1,Hydro,50,0,0.5,AEP_MI
0.4,0.1,Hydro,50,0,0.5,AEP_MI
0.4,0.1,Hydro,50,0,0.5,AEP_MI
0.4,0.1,Hydro,50,0,0.5,AEP_MI
0.4,0.1,Hydro,50,0,0.5,AEP_MI
0.4,0.1,Hydro,50,0,0.5,AEP_MI
0.5,0.1,Hydro,50,0,0.5,AEP_MI
0.5,0.1,Hydro,50,0,0.5,AEP_MI
0.5,0.1,Hydro,50,0,0.5,AEP_MI
41.9,33.8,NGCT,26.3,0.59,0.98,AE_NJ
41.9,35.3,NGCT,26.3,0.59,0.98,AE_NJ
53,50,NGCT,26.3,0.59,0.98,JC_NJ
53,50,NGCT,26.3,0.59,0.98,JC_NJ
53,50,NGCT,26.3,0.59,0.98,JC_NJ
53,45,NGCT,26.3,0.59,0.98,JC_NJ
54,42,NGCC,18.75,0.4,0.98,PS_NJ
54,42,NGCC,18.75,0.4,0.98,PS_NJ
54,42,NGCC,18.75,0.4,0.98,PS_NJ
54,42,NGCC,18.75,0.4,0.98,PS_NJ
135,37,NGCC,18.75,0.4,0.98,PS_NJ
161,150,NGCT,26.3,0.59,0.98,PS_NJ
112.5,92,NGCC,18.75,0.4,0.98,RECO_NJ
112.5,92,NGCC,18.75,0.4,0.98,RECO_NJ
112.5,92,NGCC,18.75,0.4,0.98,RECO_NJ
112.5,92,NGCC,18.75,0.4,0.98,RECO_NJ
325.2,92,NGCC,18.75,0.4,0.98,RECO_NJ
183.6,127,NGCC,18.75,0.4,0.98,RECO_NJ
183.6,127,NGCC,18.75,0.4,0.98,RECO_NJ
258.4,127,NGCC,18.75,0.4,0.98,RECO_NJ
60.5,42,NGCT,26.3,0.59,0.98,JC_NJ
60.5,42,NGCT,26.3,0.59,0.98,JC_NJ
60.5,42,NGCT,26.3,0.59,0.98,JC_NJ
60.5,42,NGCT,26.3,0.59,0.98,JC_NJ
93.6,53.3,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
60.5,25,NGCT,26.3,0.59,0.98,PS_NJ
315,155,NGCC,18.75,0.4,0.98,JC_NJ
181.4,155,NGCC,18.75,0.4,0.98,JC_NJ
181.4,155,NGCC,18.75,0.4,0.98,JC_NJ
315,155,NGCC,18.75,0.4,0.98,JC_NJ
181.4,155,NGCC,18.75,0.4,0.98,JC_NJ
181.4,155,NGCC,18.75,0.4,0.98,JC_NJ
96.1,56.6,NGCT,26.3,0.59,0.98,JC_NJ
96.1,56.6,NGCT,26.3,0.59,0.98,JC_NJ
96.1,55.3,NGCT,26.3,0.59,0.98,JC_NJ
96.1,53.3,NGCT,26.3,0.59,0.98,JC_NJ
"1,170.00","1,145.80",NuC,35,0,0.99,JC_NJ
"1,170.00","1,138.90",NuC,35,0,0.99,JC_NJ
41.8,38,Oil,40,0.82,0.98,JC_NJ
365.5,225,NGCC,18.75,0.4,0.98,JC_NJ
244,225,NGCC,18.75,0.4,0.98,JC_NJ
68.2,55,NGCT,26.3,0.59,0.98,AE_NJ
96,35,Coal,23.57,1.01,0.95,PN_NY
217.6,85,Coal,23.57,1.01,0.95,PN_NY
217.6,85,Coal,23.57,1.01,0.95,PN_NY
24.5,5,NGCT,26.3,0.59,0.98,PN_NY
24.5,5,NGCT,26.3,0.59,0.98,PN_NY
47.3,9,NGCT,26.3,0.59,0.98,PN_NY
410.8,70,Coal,23.57,1.01,0.95,AEP_NC
657,150,Coal,23.57,1.01,0.95,AEP_NC
745.2,68,Coal,23.57,1.01,0.95,AEP_NC
745.2,125,Coal,23.57,1.01,0.95,AEP_NC
185.3,177,NGCC,18.75,0.4,0.98,AEP_NC
185.3,177,NGCC,18.75,0.4,0.98,AEP_NC
327.3,300,NGCC,18.75,0.4,0.98,AEP_NC
44.4,0,Hydro,50,0,0.5,DOM_NC
44.4,0,Hydro,50,0,0.5,DOM_NC
44.4,0,Hydro,50,0,0.5,DOM_NC
44.4,0,Hydro,50,0,0.5,DOM_NC
25,10,Hydro,50,0,0.5,DOM_NC
25,10,Hydro,50,0,0.5,DOM_NC
25,10,Hydro,50,0,0.5,DOM_NC
25,10,Hydro,50,0,0.5,DOM_NC
615.2,340,Coal,23.57,1.01,0.95,AP_OH
615.2,340,Coal,23.57,1.01,0.95,AP_OH
650,375,Coal,23.57,1.01,0.95,AP_OH
100,5,NGCT,26.3,0.59,0.98,DEOK_OH
16.5,3,NGCT,26.3,0.59,0.98,DEOK_OH
21.3,3,NGCT,26.3,0.59,0.98,DEOK_OH
21.3,3,NGCT,26.3,0.59,0.98,DEOK_OH
557.1,200,Coal,23.57,1.01,0.95,DEOK_OH
557.7,200,Coal,23.57,1.01,0.95,DEOK_OH
16.5,3,Oil,40,0.82,0.98,DEOK_OH
16.5,3,Oil,40,0.82,0.98,DEOK_OH
16.5,3,Oil,40,0.82,0.98,DEOK_OH
16.5,3,Oil,40,0.82,0.98,DEOK_OH
32.1,25,Oil,40,0.82,0.98,ATSI_OH
680,330,Coal,23.57,1.01,0.95,ATSI_OH
103.5,41,NGCT,26.3,0.59,0.98,AP_OH
106.1,41,NGCT,26.3,0.59,0.98,AP_OH
84.2,41,NGCT,26.3,0.59,0.98,AP_OH
94,42,NGCT,26.3,0.59,0.98,AP_OH
94,42,NGCT,26.3,0.59,0.98,AP_OH
94,42,NGCT,26.3,0.59,0.98,AP_OH
94,42,NGCT,26.3,0.59,0.98,AP_OH
2.7,2.5,Oil,40,0.82,0.98,AP_OH
2.7,2.5,Oil,40,0.82,0.98,AP_OH
2.7,2.5,Oil,40,0.82,0.98,AP_OH
2.7,2.5,Oil,40,0.82,0.98,AP_OH
32.6,25,NGCT,26.3,0.59,0.98,AP_OH
2.7,2.4,Oil,40,0.82,0.98,AP_OH
2.7,2.4,Oil,40,0.82,0.98,AP_OH
2.7,2.4,Oil,40,0.82,0.98,AP_OH
2.7,2.4,Oil,40,0.82,0.98,AP_OH
2.7,2.4,Oil,40,0.82,0.98,AP_OH
18.5,19.5,NGCT,26.3,0.59,0.98,AP_OH
18.5,18.5,NGCT,26.3,0.59,0.98,AP_OH
18.5,18.5,NGCT,26.3,0.59,0.98,AP_OH
17.5,11,NGCT,26.3,0.59,0.98,AP_OH
17.5,9,NGCT,26.3,0.59,0.98,AP_OH
17.5,12,NGCT,26.3,0.59,0.98,AP_OH
17.5,11,NGCT,26.3,0.59,0.98,AP_OH
1.1, ,SolarPV,0,0,0.35,AP_OH
27,5,Oil,40,0.82,0.98,ATSI_OH
334,135,Coal,23.57,1.01,0.95,AP_OH
680,410,Coal,23.57,1.01,0.95,AP_OH
680,410,Coal,23.57,1.01,0.95,AP_OH
2.5,2,Oil,40,0.82,0.98,AP_OH
2.5,2,Oil,40,0.82,0.98,AP_OH
2.5,2,Oil,40,0.82,0.98,AP_OH
2.5,2,Oil,40,0.82,0.98,AP_OH
2.5,2,Oil,40,0.82,0.98,AP_OH
65.3,20,Oil,40,0.82,0.98,ATSI_OH
65.3,20,Oil,40,0.82,0.98,ATSI_OH
85,50,NGCT,26.3,0.59,0.98,ATSI_OH
85,50,NGCT,26.3,0.59,0.98,ATSI_OH
85,50,NGCT,26.3,0.59,0.98,ATSI_OH
85,50,NGCT,26.3,0.59,0.98,ATSI_OH
85,50,NGCT,26.3,0.59,0.98,ATSI_OH
217.3,80,Coal,23.57,1.01,0.95,AEP_OH
217.3,80,Coal,23.57,1.01,0.95,AEP_OH
217.3,80,Coal,23.57,1.01,0.95,AEP_OH
217.3,80,Coal,23.57,1.01,0.95,AEP_OH
217.3,80,Coal,23.57,1.01,0.95,AEP_OH
150.5,90,Coal,23.57,1.01,0.95,ATSI_OH
16,5,Oil,40,0.82,0.98,ATSI_OH
15,3,Oil,40,0.82,0.98,ATSI_OH
15,3,NGCT,26.3,0.59,0.98,ATSI_OH
15,3,NGCT,26.3,0.59,0.98,ATSI_OH
135,40,NGCT,26.3,0.59,0.98,ATSI_OH
135,40,NGCT,26.3,0.59,0.98,ATSI_OH
135,40,NGCT,26.3,0.59,0.98,ATSI_OH
19,3,Oil,40,0.82,0.98,ATSI_OH
0.7,0.2,Oil,40,0.82,0.98,AEP_OH
0.5,0.2,Oil,40,0.82,0.98,AEP_OH
15.8,3,NGCT,26.3,0.59,0.98,ATSI_OH
16,3,NGCT,26.3,0.59,0.98,ATSI_OH
2.5,0.5,Oil,40,0.82,0.98,ATSI_OH
5,1,NGCT,26.3,0.59,0.98,ATSI_OH
16,5,Oil,40,0.82,0.98,ATSI_OH
16,5,NGCT,26.3,0.59,0.98,ATSI_OH
16,5,NGCT,26.3,0.59,0.98,ATSI_OH
8,4,Coal,23.57,1.01,0.95,AEP_OH
19.5,7,Coal,23.57,1.01,0.95,AEP_OH
2.6,1.2,Oil,40,0.82,0.98,AEP_OH
19.5,8,NGCT,26.3,0.59,0.98,AEP_OH
16.3,5,NGCT,26.3,0.59,0.98,DEOK_OH
1.1,0.9,Oil,40,0.82,0.98,ATSI_OH
0.5,0.4,NGCT,26.3,0.59,0.98,ATSI_OH
3.1,2.4,NGCT,26.3,0.59,0.98,ATSI_OH
3.1,2.4,NGCT,26.3,0.59,0.98,ATSI_OH
2.5,1.9,NGCT,26.3,0.59,0.98,ATSI_OH
2.7,2.2,NGCT,26.3,0.59,0.98,ATSI_OH
3,2.3,NGCT,26.3,0.59,0.98,ATSI_OH
0.4,0.4,NGCT,26.3,0.59,0.98,ATSI_OH
2.1,1.6,NGCT,26.3,0.59,0.98,ATSI_OH
25,7,Coal,23.57,1.01,0.95,AEP_OH
25,7,NGCT,26.3,0.59,0.98,AEP_OH
5,1,Coal,23.57,1.01,0.95,AEP_OH
7.5,2,Coal,23.57,1.01,0.95,AEP_OH
22,7,Coal,23.57,1.01,0.95,AEP_OH
7.5,2.5,Coal,23.57,1.01,0.95,ATSI_OH
16.5,5.5,Coal,23.57,1.01,0.95,ATSI_OH
22,6,Coal,23.57,1.01,0.95,ATSI_OH
7.5,2.5,Coal,23.57,1.01,0.95,ATSI_OH
2,1.4,Oil,40,0.82,0.98,ATSI_OH
16.3,13,Oil,40,0.82,0.98,AEP_OH
20,14,Oil,40,0.82,0.98,AEP_OH
14,1,Oil,40,0.82,0.98,AEP_OH
11,1,NGCT,26.3,0.59,0.98,AEP_OH
1.2,1,Oil,40,0.82,0.98,AEP_OH
1.2,0.4,Oil,40,0.82,0.98,AEP_OH
0.6,0.4,Oil,40,0.82,0.98,AEP_OH
1.2,0.4,Oil,40,0.82,0.98,AEP_OH
1.5,0.4,Oil,40,0.82,0.98,AEP_OH
2.1,2,Oil,40,0.82,0.98,AEP_OH
25.5,15,Oil,40,0.82,0.98,DUQ_PA
65.3,30,NGCC,18.75,0.4,0.98,DUQ_PA
65.3,30,NGCC,18.75,0.4,0.98,DUQ_PA
65.3,30,NGCC,18.75,0.4,0.98,DUQ_PA
144,32,NGCC,18.75,0.4,0.98,DUQ_PA
19.6,18,Oil,40,0.82,0.98,DUQ_PA
20,18,NGCT,26.3,0.59,0.98,DUQ_PA
20,17,NGCT,26.3,0.59,0.98,DUQ_PA
20,18,NGCT,26.3,0.59,0.98,DUQ_PA
27,18,Oil,40,0.82,0.98,ME_PA
27,18,Oil,40,0.82,0.98,ME_PA
27,18,Oil,40,0.82,0.98,DUQ_PA
18,13,Oil,40,0.82,0.98,DPL_PA
20,17,Oil,40,0.82,0.98,DPL_PA
156,90,Oil,40,0.82,0.98,DPL_PA
20,17,Oil,40,0.82,0.98,PL_PA
18,13,Oil,40,0.82,0.98,PL_PA
18,13,Oil,40,0.82,0.98,PL_PA
27,18,Oil,40,0.82,0.98,BC_PA
27,18,Oil,40,0.82,0.98,BC_PA
19.6,1,Hydro,50,0,0.5,BC_PA
975.5,325,Coal,23.57,1.01,0.95,PN_PA
975.5,325,Coal,23.57,1.01,0.95,PN_PA
3,2.8,Oil,40,0.82,0.98,PN_PA
3,2.8,Oil,40,0.82,0.98,PN_PA
3,2.8,Oil,40,0.82,0.98,PN_PA
3,2.8,Oil,40,0.82,0.98,PN_PA
24,16,NGCT,26.3,0.59,0.98,AP_PA
660,285,Coal,23.57,1.01,0.95,PN_PA
660,290,Coal,23.57,1.01,0.95,PN_PA
692,300,Coal,23.57,1.01,0.95,PN_PA
10,4,Hydro,50,0,0.5,AP_PA
10,4,Hydro,50,0,0.5,AP_PA
10,3,Hydro,50,0,0.5,AP_PA
585,200,Coal,23.57,1.01,0.95,PN_PA
125,30,NGCT,26.3,0.59,0.98,AP_PA
125,31,NGCT,26.3,0.59,0.98,AP_PA
188,59,NGCT,26.3,0.59,0.98,AP_PA
188,59,NGCT,26.3,0.59,0.98,AP_PA
2,2,Oil,40,0.82,0.98,AP_PA
2,2,Oil,40,0.82,0.98,AP_PA
2,2,Oil,40,0.82,0.98,AP_PA
53.1,5,NGCT,26.3,0.59,0.98,PN_PA
936,350,Coal,23.57,1.01,0.95,AP_PA
936,350,Coal,23.57,1.01,0.95,AP_PA
2.5,2.8,Oil,40,0.82,0.98,AP_PA
2.9,2.8,Oil,40,0.82,0.98,AP_PA
2.9,2.8,Oil,40,0.82,0.98,AP_PA
2.9,2.8,Oil,40,0.82,0.98,AP_PA
98,20,NGCT,26.3,0.59,0.98,ME_PA
114,25,NGCT,26.3,0.59,0.98,ME_PA
136,35,NGCT,26.3,0.59,0.98,ME_PA
3.2,1,Oil,40,0.82,0.98,ME_PA
3.2,1,Oil,40,0.82,0.98,ME_PA
