From_zone,To_zone,from_bus,to_bus,X,Capacity (MW),Loss (%)
B38,B37,38,37,0.0375,4242.0,0
B37,B39,37,39,0.106,4242.0,0
B37,B40,37,40,0.168,4242.0,0
B30,B38,30,38,0.054,4242.0,0
B39,B40,39,40,0.0605,4242.0,0
B40,B41,40,41,0.0487,4242.0,0
B40,B42,40,42,0.183,4242.0,0
B41,B42,41,42,0.135,4242.0,0
B43,B44,43,44,0.2454,4242.0,0
B34,B43,34,43,0.1681,4242.0,0
B44,B45,44,45,0.0901,4242.0,0
B45,B46,45,46,0.1356,4242.0,0
B46,B47,46,47,0.127,4242.0,0
B46,B48,46,48,0.189,4242.0,0
B47,B49,47,49,0.0625,4242.0,0
B42,B49,42,49,0.323,4242.0,0
B42,B49,42,49,0.323,4242.0,0
B45,B49,45,49,0.186,4242.0,0
B48,B49,48,49,0.0505,4242.0,0
B49,B50,49,50,0.0752,4242.0,0
B49,B51,49,51,0.137,4242.0,0
B51,B52,51,52,0.0588,4242.0,0
B52,B53,52,53,0.1635,4242.0,0
B53,B54,53,54,0.122,4242.0,0
B49,B54,49,54,0.289,4242.0,0
B49,B54,49,54,0.291,4242.0,0
B54,B55,54,55,0.0707,4242.0,0
B54,B56,54,56,0.00955,4242.0,0
B55,B56,55,56,0.0151,4242.0,0
B56,B57,56,57,0.0966,4242.0,0
B50,B57,50,57,0.134,4242.0,0
B56,B58,56,58,0.0966,4242.0,0
B51,B58,51,58,0.0719,4242.0,0
B54,B59,54,59,0.2293,4242.0,0
B56,B59,56,59,0.251,4242.0,0
B56,B59,56,59,0.239,4242.0,0
B55,B59,55,59,0.2158,4242.0,0
B59,B60,59,60,0.145,4242.0,0
B59,B61,59,61,0.15,4242.0,0
B60,B61,60,61,0.0135,4242.0,0
B60,B62,60,62,0.0561,4242.0,0
B61,B62,61,62,0.0376,4242.0,0
B63,B59,63,59,0.0386,4242.0,0
B63,B64,63,64,0.02,4242.0,0
B64,B61,64,61,0.0268,4242.0,0
B38,B65,38,65,0.0986,4242.0,0
B64,B65,64,65,0.0302,4242.0,0
B49,B66,49,66,0.0919,4242.0,0
B49,B66,49,66,0.0919,4242.0,0
B62,B66,62,66,0.218,4242.0,0
B62,B67,62,67,0.117,4242.0,0
B65,B66,65,66,0.037,4242.0,0
B66,B67,66,67,0.1015,4242.0,0
B65,B68,65,68,0.016,4242.0,0
B47,B69,47,69,0.2778,4242.0,0
B49,B69,49,69,0.324,4242.0,0
B68,B69,68,69,0.037,4242.0,0
B69,B70,69,70,0.127,4242.0,0
B24,B70,24,70,0.4115,4242.0,0
B70,B71,70,71,0.0355,4242.0,0
B24,B72,24,72,0.196,4242.0,0
B71,B72,71,72,0.18,4242.0,0
B71,B73,71,73,0.0454,4242.0,0
B70,B74,70,74,0.1323,4242.0,0
B70,B75,70,75,0.141,4242.0,0
B69,B75,69,75,0.122,4242.0,0
B74,B75,74,75,0.0406,4242.0,0
B76,B77,76,77,0.148,4242.0,0
B69,B77,69,77,0.101,4242.0,0
B75,B77,75,77,0.1999,4242.0,0
B77,B78,77,78,0.0124,4242.0,0
B78,B79,78,79,0.0244,4242.0,0
B77,B80,77,80,0.0485,4242.0,0
B77,B80,77,80,0.105,4242.0,0
B79,B80,79,80,0.0704,4242.0,0
B68,B81,68,81,0.0202,4242.0,0
B81,B80,81,80,0.037,4242.0,0
B77,B82,77,82,0.0853,4242.0,0
B82,B83,82,83,0.03665,4242.0,0
B83,B84,83,84,0.132,4242.0,0
B83,B85,83,85,0.148,4242.0,0
B84,B85,84,85,0.0641,4242.0,0
B85,B86,85,86,0.123,4242.0,0
B86,B87,86,87,0.2074,4242.0,0
B85,B88,85,88,0.102,4242.0,0
B85,B89,85,89,0.173,4242.0,0
B88,B89,88,89,0.0712,4242.0,0
B89,B90,89,90,0.188,4242.0,0
B89,B90,89,90,0.0997,4242.0,0
B90,B91,90,91,0.0836,4242.0,0
B89,B92,89,92,0.0505,4242.0,0
B89,B92,89,92,0.1581,4242.0,0
B91,B92,91,92,0.1272,4242.0,0
B92,B93,92,93,0.0848,4242.0,0
B92,B94,92,94,0.158,4242.0,0
B93,B94,93,94,0.0732,4242.0,0
B94,B95,94,95,0.0434,4242.0,0
B80,B96,80,96,0.182,4242.0,0
B82,B96,82,96,0.053,4242.0,0
B94,B96,94,96,0.0869,4242.0,0
B80,B97,80,97,0.0934,4242.0,0
B80,B98,80,98,0.108,4242.0,0
B80,B99,80,99,0.206,4242.0,0
B92,B100,92,100,0.295,4242.0,0
B94,B100,94,100,0.058,4242.0,0
B95,B96,95,96,0.0547,4242.0,0
B96,B97,96,97,0.0885,4242.0,0
B98,B100,98,100,0.179,4242.0,0
B99,B100,99,100,0.0813,4242.0,0
B100,B101,100,101,0.1262,4242.0,0
B92,B102,92,102,0.0559,4242.0,0
B101,B102,101,102,0.112,4242.0,0
B100,B103,100,103,0.0525,4242.0,0
B100,B104,100,104,0.204,4242.0,0
B103,B104,103,104,0.1584,4242.0,0
B103,B105,103,105,0.1625,4242.0,0
B100,B106,100,106,0.229,4242.0,0
B104,B105,104,105,0.0378,4242.0,0
B105,B106,105,106,0.0547,4242.0,0
B105,B107,105,107,0.183,4242.0,0
B105,B108,105,108,0.0703,4242.0,0
B106,B107,106,107,0.183,4242.0,0
B108,B109,108,109,0.0288,4242.0,0
B103,B110,103,110,0.1813,4242.0,0
B109,B110,109,110,0.0762,4242.0,0
B110,B111,110,111,0.0755,4242.0,0
B110,B112,110,112,0.064,4242.0,0
B17,B113,17,113,0.0301,4242.0,0
B32,B113,32,113,0.203,4242.0,0
B32,B114,32,114,0.0612,4242.0,0
B27,B115,27,115,0.0741,4242.0,0
B114,B115,114,115,0.0104,4242.0,0
B68,B116,68,116,0.00405,4242.0,0
B12,B117,12,117,0.14,4242.0,0
B75,B118,75,118,0.0481,4242.0,0
B76,B118,76,118,0.0544,4242.0,0
