Pmax (MW),Pmin (MW),Zone,Bus_id,Type,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,RM_SPIN,RU,RD,Flag_UC,Min_down_time,Min_up_time,Start_up_cost ($/MW)
100.0,0.0,B40,40,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B42,42,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
119.0,0.0,B46,46,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
304.0,0.0,B49,49,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
148.0,0.0,B54,54,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B55,55,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B56,56,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
255.0,0.0,B59,59,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
260.0,0.0,B61,61,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B62,62,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
491.0,0.0,B65,65,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
492.0,0.0,B66,66,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
805.2,0.0,B69,69,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B70,70,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B72,72,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B73,73,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B74,74,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B76,76,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B77,77,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
577.0,0.0,B80,80,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B85,85,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
104.0,0.0,B87,87,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
707.0,0.0,B89,89,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B90,90,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B91,91,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B92,92,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B99,99,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
352.0,0.0,B100,100,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
140.0,0.0,B103,103,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B104,104,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B105,105,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B107,107,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B110,110,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
136.0,0.0,B111,111,NGCC,1,0,0,0,20.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B112,112,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B113,113,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
100.0,0.0,B116,116,NGCC,1,0,0,0,40.0,0.4,1.0,1.0,0.05,0.1,1.0,1.0,0,1,1,0.0
